78.13082814216614: 4935, Recall: 0.3967041800643087
79.13187503814697: 4935, Recall: 0.3967041800643087
80.13301348686218: 4935, Recall: 0.3967041800643087
80.13403248786926: 4935, Recall: 0.3967041800643087
81.13520169258118: 4935, Recall: 0.3967041800643087
81.13615155220032: 4935, Recall: 0.3967041800643087
82.13728022575378: 4935, Recall: 0.3967041800643087
83.13838958740234: 4935, Recall: 0.3967041800643087
83.13936686515808: 4935, Recall: 0.3967041800643087
84.14039134979248: 4935, Recall: 0.3967041800643087
85.14157104492188: 4935, Recall: 0.3967041800643087
85.14251375198364: 4935, Recall: 0.3967041800643087
86.14360618591309: 4935, Recall: 0.3967041800643087
87.14469838142395: 4935, Recall: 0.3967041800643087
88.14583468437195: 4935, Recall: 0.3967041800643087
88.14683198928833: 4935, Recall: 0.3967041800643087
89.14792037010193: 4935, Recall: 0.3967041800643087
89.14886713027954: 4935, Recall: 0.3967041800643087
90.14997816085815: 4935, Recall: 0.3967041800643087
91.15102863311768: 4935, Recall: 0.3967041800643087
91.15198349952698: 4935, Recall: 0.3967041800643087
92.15294051170349: 4935, Recall: 0.3967041800643087
92.1539568901062: 4935, Recall: 0.3967041800643087
93.15500617027283: 4935, Recall: 0.3967041800643087
93.15601325035095: 4935, Recall: 0.3967041800643087
94.15695452690125: 4935, Recall: 0.3967041800643087
95.15799331665039: 4935, Recall: 0.3967041800643087
96.15921115875244: 4935, Recall: 0.3967041800643087
96.16018199920654: 4935, Recall: 0.3967041800643087
96.16104888916016: 4935, Recall: 0.3967041800643087
99.16240978240967: 4935, Recall: 0.3967041800643087
99.16336727142334: 4935, Recall: 0.3967041800643087
100.1645200252533: 4935, Recall: 0.3967041800643087
100.1654965877533: 4935, Recall: 0.3967041800643087
100.16639423370361: 4935, Recall: 0.3967041800643087
101.16737985610962: 4935, Recall: 0.3967041800643087
102.16864275932312: 4935, Recall: 0.3967041800643087
103.16992163658142: 4935, Recall: 0.3967041800643087
103.17090678215027: 4935, Recall: 0.3967041800643087
103.17182183265686: 4935, Recall: 0.3967041800643087
104.17302799224854: 5406, Recall: 0.43456591639871384
104.17420840263367: 5936, Recall: 0.47717041800643084
105.17538189888: 6475, Recall: 0.5204983922829582
106.17686295509338: 7004, Recall: 0.5630225080385852
106.17804837226868: 7504, Recall: 0.6032154340836012
106.179190158844: 8034, Recall: 0.6458199356913183
107.180349111557: 8574, Recall: 0.6892282958199357
107.18163084983826: 9104, Recall: 0.7318327974276527
108.1826651096344: 9174, Recall: 0.737459807073955
108.18367671966553: 9174, Recall: 0.737459807073955
109.18468117713928: 9174, Recall: 0.737459807073955
110.18582105636597: 9174, Recall: 0.737459807073955
110.18682074546814: 9174, Recall: 0.737459807073955
110.18776369094849: 9174, Recall: 0.737459807073955
111.18874907493591: 9174, Recall: 0.737459807073955
112.18994784355164: 9175, Recall: 0.737540192926045
112.19092679023743: 9175, Recall: 0.737540192926045
112.19181752204895: 9175, Recall: 0.737540192926045
113.1927330493927: 9175, Recall: 0.737540192926045
114.19386672973633: 9175, Recall: 0.737540192926045
114.19481348991394: 9175, Recall: 0.737540192926045
114.19571900367737: 9175, Recall: 0.737540192926045
115.1966781616211: 9175, Recall: 0.737540192926045
116.19788384437561: 9175, Recall: 0.737540192926045
116.19884300231934: 9175, Recall: 0.737540192926045
116.19974327087402: 9175, Recall: 0.737540192926045
117.20076513290405: 9175, Recall: 0.737540192926045
118.20201706886292: 9175, Recall: 0.737540192926045
118.20301985740662: 9175, Recall: 0.737540192926045
118.20392918586731: 9175, Recall: 0.737540192926045
119.20488047599792: 9175, Recall: 0.737540192926045
120.20606970787048: 9175, Recall: 0.737540192926045
120.20706129074097: 9175, Recall: 0.737540192926045
120.20795440673828: 9175, Recall: 0.737540192926045
121.20895791053772: 9175, Recall: 0.737540192926045
122.21019721031189: 9175, Recall: 0.737540192926045
122.21118903160095: 9175, Recall: 0.737540192926045
123.21230983734131: 9175, Recall: 0.737540192926045
123.21331572532654: 9175, Recall: 0.737540192926045
124.21442937850952: 9175, Recall: 0.737540192926045
124.21543169021606: 9175, Recall: 0.737540192926045
124.21637082099915: 9175, Recall: 0.737540192926045
125.21730089187622: 9175, Recall: 0.737540192926045
126.21836853027344: 9175, Recall: 0.737540192926045
127.21962976455688: 9175, Recall: 0.737540192926045
127.22060585021973: 9175, Recall: 0.737540192926045
128.22163915634155: 9175, Recall: 0.737540192926045
128.22263979911804: 9175, Recall: 0.737540192926045
129.2236363887787: 9175, Recall: 0.737540192926045
129.22463989257812: 9175, Recall: 0.737540192926045
130.22570490837097: 9175, Recall: 0.737540192926045
131.22698879241943: 9175, Recall: 0.737540192926045
131.22799015045166: 9175, Recall: 0.737540192926045
132.22904562950134: 9175, Recall: 0.737540192926045
132.2300317287445: 9175, Recall: 0.737540192926045
133.23105549812317: 9175, Recall: 0.737540192926045
134.2322609424591: 9175, Recall: 0.737540192926045
134.23325490951538: 9175, Recall: 0.737540192926045
135.23432874679565: 9175, Recall: 0.737540192926045
135.2353413105011: 9175, Recall: 0.737540192926045
136.2363793849945: 9175, Recall: 0.737540192926045
137.2376184463501: 9175, Recall: 0.737540192926045
137.23862481117249: 9175, Recall: 0.737540192926045
138.2396421432495: 9175, Recall: 0.737540192926045
139.24087715148926: 9175, Recall: 0.737540192926045
139.24185347557068: 9175, Recall: 0.737540192926045
140.2429323196411: 9175, Recall: 0.737540192926045
140.24390292167664: 9175, Recall: 0.737540192926045
141.2448434829712: 9175, Recall: 0.737540192926045
141.24586987495422: 9175, Recall: 0.737540192926045
142.2469925880432: 9175, Recall: 0.737540192926045
142.2479965686798: 9175, Recall: 0.737540192926045
143.24906134605408: 9175, Recall: 0.737540192926045
143.25010657310486: 9175, Recall: 0.737540192926045
144.25115942955017: 9175, Recall: 0.737540192926045
145.2524049282074: 9175, Recall: 0.737540192926045
145.2534201145172: 9175, Recall: 0.737540192926045
146.25454926490784: 9175, Recall: 0.737540192926045
146.2555468082428: 9175, Recall: 0.737540192926045
147.25659036636353: 9175, Recall: 0.737540192926045
147.25761342048645: 9175, Recall: 0.737540192926045
148.25855088233948: 9175, Recall: 0.737540192926045
149.25978779792786: 9175, Recall: 0.737540192926045
149.26081347465515: 9175, Recall: 0.737540192926045
150.26189637184143: 9175, Recall: 0.737540192926045
151.26311206817627: 9175, Recall: 0.737540192926045
151.26411652565002: 9175, Recall: 0.737540192926045
152.26512789726257: 9175, Recall: 0.737540192926045
152.2660973072052: 9175, Recall: 0.737540192926045
153.2672300338745: 9175, Recall: 0.737540192926045
153.26822900772095: 9175, Recall: 0.737540192926045
154.2693440914154: 9175, Recall: 0.737540192926045
154.27031874656677: 9175, Recall: 0.737540192926045
155.27138781547546: 9175, Recall: 0.737540192926045
155.27240753173828: 9175, Recall: 0.737540192926045
156.27351760864258: 9175, Recall: 0.737540192926045
156.2745110988617: 9175, Recall: 0.737540192926045
157.27551412582397: 9175, Recall: 0.737540192926045
158.2767219543457: 9175, Recall: 0.737540192926045
158.2777030467987: 9175, Recall: 0.737540192926045
158.27862191200256: 9175, Recall: 0.737540192926045
159.27961564064026: 9175, Recall: 0.737540192926045
160.28087639808655: 9175, Recall: 0.737540192926045
160.2819058895111: 9175, Recall: 0.737540192926045
161.28299522399902: 9175, Recall: 0.737540192926045
161.28398990631104: 9175, Recall: 0.737540192926045
162.28496408462524: 9175, Recall: 0.737540192926045
163.28620266914368: 9175, Recall: 0.737540192926045
164.28738737106323: 9175, Recall: 0.737540192926045
164.2884178161621: 9175, Recall: 0.737540192926045
165.28935432434082: 9175, Recall: 0.737540192926045
166.29062128067017: 9175, Recall: 0.737540192926045
166.2915904521942: 9175, Recall: 0.737540192926045
167.29265141487122: 9175, Recall: 0.737540192926045
168.29389476776123: 9175, Recall: 0.737540192926045
168.29487586021423: 9175, Recall: 0.737540192926045
169.2959794998169: 9175, Recall: 0.737540192926045
169.29694771766663: 9175, Recall: 0.737540192926045
170.2978858947754: 9175, Recall: 0.737540192926045
171.29913544654846: 9175, Recall: 0.737540192926045
171.30009365081787: 9175, Recall: 0.737540192926045
171.3009741306305: 9175, Recall: 0.737540192926045
172.3019721508026: 9175, Recall: 0.737540192926045
173.3032009601593: 9175, Recall: 0.737540192926045
173.30417370796204: 9175, Recall: 0.737540192926045
174.30524516105652: 9175, Recall: 0.737540192926045
174.3062129020691: 9175, Recall: 0.737540192926045
175.3071711063385: 9175, Recall: 0.737540192926045
175.3082094192505: 9175, Recall: 0.737540192926045
176.30928301811218: 9175, Recall: 0.737540192926045
177.31046152114868: 9175, Recall: 0.737540192926045
177.31143522262573: 9175, Recall: 0.737540192926045
178.3125159740448: 9175, Recall: 0.737540192926045
178.31349778175354: 9175, Recall: 0.737540192926045
