2.0012474060058594: 64, Recall: 0.015384615384615385
3.002613067626953: 190, Recall: 0.04567307692307692
4.003765106201172: 190, Recall: 0.04567307692307692
5.004877090454102: 190, Recall: 0.04567307692307692
7.00617527961731: 190, Recall: 0.04567307692307692
8.007408142089844: 190, Recall: 0.04567307692307692
9.0086190700531: 190, Recall: 0.04567307692307692
10.009778499603271: 190, Recall: 0.04567307692307692
11.010802030563354: 190, Recall: 0.04567307692307692
14.012230634689331: 199, Recall: 0.04783653846153846
16.013533353805542: 241, Recall: 0.05793269230769231
17.014676332473755: 241, Recall: 0.05793269230769231
18.01577353477478: 241, Recall: 0.05793269230769231
19.016802310943604: 241, Recall: 0.05793269230769231
21.01806139945984: 241, Recall: 0.05793269230769231
22.01922059059143: 241, Recall: 0.05793269230769231
23.020370960235596: 241, Recall: 0.05793269230769231
24.0214626789093: 241, Recall: 0.05793269230769231
26.022786617279053: 241, Recall: 0.05793269230769231
27.024003505706787: 241, Recall: 0.05793269230769231
28.025163888931274: 241, Recall: 0.05793269230769231
29.02631974220276: 241, Recall: 0.05793269230769231
30.02739953994751: 241, Recall: 0.05793269230769231
32.02869963645935: 262, Recall: 0.06298076923076923
33.02992653846741: 262, Recall: 0.06298076923076923
34.03107786178589: 262, Recall: 0.06298076923076923
35.03218483924866: 262, Recall: 0.06298076923076923
36.033241510391235: 262, Recall: 0.06298076923076923
38.0345025062561: 262, Recall: 0.06298076923076923
39.035682678222656: 262, Recall: 0.06298076923076923
42.03722596168518: 307, Recall: 0.07379807692307692
46.03890562057495: 325, Recall: 0.078125
50.0405797958374: 354, Recall: 0.08509615384615385
52.041893005371094: 383, Recall: 0.0920673076923077
53.043057441711426: 383, Recall: 0.0920673076923077
54.044206380844116: 419, Recall: 0.10072115384615385
55.04527926445007: 426, Recall: 0.10240384615384615
57.04654097557068: 426, Recall: 0.10240384615384615
58.047683238983154: 426, Recall: 0.10240384615384615
59.04879331588745: 426, Recall: 0.10240384615384615
61.05002450942993: 426, Recall: 0.10240384615384615
62.05123209953308: 426, Recall: 0.10240384615384615
64.0526008605957: 451, Recall: 0.10841346153846154
68.05431818962097: 484, Recall: 0.11634615384615385
71.05576229095459: 517, Recall: 0.12427884615384616
74.05724167823792: 534, Recall: 0.1283653846153846
78.05888891220093: 552, Recall: 0.1326923076923077
82.06057381629944: 590, Recall: 0.14182692307692307
83.06176280975342: 634, Recall: 0.15240384615384617
85.06306576728821: 647, Recall: 0.15552884615384616
86.06423330307007: 647, Recall: 0.15552884615384616
88.06556558609009: 676, Recall: 0.1625
90.06686854362488: 697, Recall: 0.1675480769230769
92.06823492050171: 736, Recall: 0.17692307692307693
94.06954860687256: 757, Recall: 0.18197115384615384
96.07088851928711: 775, Recall: 0.18629807692307693
101.07267618179321: 793, Recall: 0.190625
105.07436156272888: 831, Recall: 0.1997596153846154
108.07583141326904: 839, Recall: 0.2016826923076923
112.07754302024841: 854, Recall: 0.20528846153846153
117.07917618751526: 857, Recall: 0.20600961538461537
122.08101773262024: 858, Recall: 0.20625
124.08229684829712: 858, Recall: 0.20625
125.08329153060913: 858, Recall: 0.20625
127.08455061912537: 868, Recall: 0.20865384615384616
128.0856990814209: 876, Recall: 0.21057692307692308
130.0869243144989: 900, Recall: 0.21634615384615385
131.08808755874634: 900, Recall: 0.21634615384615385
132.08922004699707: 900, Recall: 0.21634615384615385
134.09048104286194: 900, Recall: 0.21634615384615385
135.09162378311157: 925, Recall: 0.22235576923076922
136.09276723861694: 925, Recall: 0.22235576923076922
137.0939223766327: 925, Recall: 0.22235576923076922
140.0952501296997: 935, Recall: 0.2247596153846154
144.0969123840332: 937, Recall: 0.22524038461538462
147.09839129447937: 947, Recall: 0.22764423076923077
148.09945702552795: 953, Recall: 0.22908653846153845
150.1007046699524: 953, Recall: 0.22908653846153845
154.1023280620575: 965, Recall: 0.23197115384615385
158.10396695137024: 968, Recall: 0.2326923076923077
160.10521984100342: 982, Recall: 0.2360576923076923
162.10652136802673: 982, Recall: 0.2360576923076923
163.10766315460205: 982, Recall: 0.2360576923076923
164.10877442359924: 982, Recall: 0.2360576923076923
166.11002469062805: 982, Recall: 0.2360576923076923
167.111097574234: 982, Recall: 0.2360576923076923
169.11233925819397: 982, Recall: 0.2360576923076923
171.11370015144348: 997, Recall: 0.23966346153846155
175.11535120010376: 1010, Recall: 0.24278846153846154
179.11703157424927: 1012, Recall: 0.24326923076923077
183.1187036037445: 1020, Recall: 0.24519230769230768
185.12005352973938: 1026, Recall: 0.2466346153846154
188.12150859832764: 1041, Recall: 0.2502403846153846
192.1232259273529: 1062, Recall: 0.2552884615384615
196.12492036819458: 1070, Recall: 0.25721153846153844
198.12616896629333: 1070, Recall: 0.25721153846153844
200.1274766921997: 1070, Recall: 0.25721153846153844
202.12876081466675: 1070, Recall: 0.25721153846153844
207.13059830665588: 1076, Recall: 0.2586538461538462
211.13220143318176: 1078, Recall: 0.2591346153846154
216.13404774665833: 1090, Recall: 0.2620192307692308
218.13535475730896: 1102, Recall: 0.26490384615384616
222.13702273368835: 1108, Recall: 0.26634615384615384
225.13846707344055: 1108, Recall: 0.26634615384615384
227.1396803855896: 1108, Recall: 0.26634615384615384
228.14076113700867: 1108, Recall: 0.26634615384615384
230.1421136856079: 1108, Recall: 0.26634615384615384
231.1432716846466: 1115, Recall: 0.26802884615384615
232.14436221122742: 1122, Recall: 0.26971153846153845
234.14560103416443: 1122, Recall: 0.26971153846153845
235.14672446250916: 1135, Recall: 0.27283653846153844
237.14791297912598: 1135, Recall: 0.27283653846153844
238.14908838272095: 1135, Recall: 0.27283653846153844
240.15032052993774: 1135, Recall: 0.27283653846153844
241.15148329734802: 1141, Recall: 0.2742788461538462
243.15276718139648: 1141, Recall: 0.2742788461538462
244.15397667884827: 1141, Recall: 0.2742788461538462
245.15507221221924: 1154, Recall: 0.27740384615384617
247.1563560962677: 1160, Recall: 0.27884615384615385
248.15746331214905: 1160, Recall: 0.27884615384615385
250.15870761871338: 1160, Recall: 0.27884615384615385
251.15979504585266: 1160, Recall: 0.27884615384615385
253.16105484962463: 1160, Recall: 0.27884615384615385
254.16219520568848: 1160, Recall: 0.27884615384615385
256.16343688964844: 1160, Recall: 0.27884615384615385
257.1646559238434: 1160, Recall: 0.27884615384615385
258.1657769680023: 1160, Recall: 0.27884615384615385
260.16705870628357: 1160, Recall: 0.27884615384615385
261.1682162284851: 1166, Recall: 0.28028846153846154
263.1695077419281: 1166, Recall: 0.28028846153846154
264.1706614494324: 1172, Recall: 0.28173076923076923
266.1719717979431: 1172, Recall: 0.28173076923076923
267.1731507778168: 1172, Recall: 0.28173076923076923
268.174293756485: 1176, Recall: 0.2826923076923077
270.1754825115204: 1182, Recall: 0.2841346153846154
271.17657804489136: 1182, Recall: 0.2841346153846154
273.1778576374054: 1187, Recall: 0.28533653846153845
274.1789700984955: 1198, Recall: 0.2879807692307692
276.1802296638489: 1198, Recall: 0.2879807692307692
277.1813209056854: 1202, Recall: 0.28894230769230766
279.1825656890869: 1202, Recall: 0.28894230769230766
280.18368697166443: 1202, Recall: 0.28894230769230766
284.1853837966919: 1207, Recall: 0.2901442307692308
287.18687319755554: 1207, Recall: 0.2901442307692308
288.1880838871002: 1218, Recall: 0.29278846153846155
289.1892204284668: 1227, Recall: 0.2949519230769231
291.19048976898193: 1236, Recall: 0.2971153846153846
292.19162034988403: 1258, Recall: 0.30240384615384613
294.19290685653687: 1274, Recall: 0.30625
296.1942558288574: 1295, Recall: 0.3112980769230769
300.19590067863464: 1334, Recall: 0.32067307692307695
304.19755816459656: 1360, Recall: 0.3269230769230769
309.1992974281311: 1375, Recall: 0.33052884615384615
314.201149225235: 1396, Recall: 0.33557692307692305
316.2024841308594: 1420, Recall: 0.34134615384615385
318.203800201416: 1429, Recall: 0.3435096153846154
319.20499062538147: 1433, Recall: 0.34447115384615384
321.20624923706055: 1439, Recall: 0.34591346153846153
323.2075252532959: 1447, Recall: 0.34783653846153845
325.2088027000427: 1447, Recall: 0.34783653846153845
326.21001505851746: 1447, Recall: 0.34783653846153845
328.211238861084: 1452, Recall: 0.3490384615384615
330.2126314640045: 1454, Recall: 0.34951923076923075
332.21394658088684: 1474, Recall: 0.3543269230769231
334.21516847610474: 1484, Recall: 0.35673076923076924
335.2162775993347: 1487, Recall: 0.3574519230769231
337.21750497817993: 1495, Recall: 0.359375
340.2188923358917: 1516, Recall: 0.3644230769230769
344.220520734787: 1534, Recall: 0.36875
347.22202610969543: 1547, Recall: 0.371875
351.223557472229: 1560, Recall: 0.375
354.22504591941833: 1568, Recall: 0.3769230769230769
358.2265832424164: 1573, Recall: 0.378125
363.2282922267914: 1581, Recall: 0.3800480769230769
368.23007822036743: 1584, Recall: 0.38076923076923075
372.2316689491272: 1589, Recall: 0.3819711538461538
376.233371257782: 1604, Recall: 0.3855769230769231
379.23474192619324: 1616, Recall: 0.38846153846153847
383.23633193969727: 1630, Recall: 0.3918269230769231
386.23782420158386: 1637, Recall: 0.3935096153846154
390.2392930984497: 1645, Recall: 0.3954326923076923
393.24076890945435: 1650, Recall: 0.39663461538461536
399.2426679134369: 1653, Recall: 0.3973557692307692
404.2444987297058: 1655, Recall: 0.39783653846153844
405.2456064224243: 1656, Recall: 0.39807692307692305
408.2470018863678: 1663, Recall: 0.3997596153846154
412.2486550807953: 1667, Recall: 0.40072115384615387
417.2504632472992: 1669, Recall: 0.4012019230769231
420.25188541412354: 1676, Recall: 0.4028846153846154
424.2535066604614: 1678, Recall: 0.4033653846153846
425.2546558380127: 1678, Recall: 0.4033653846153846
