143.18319582939148: 1447, Recall: 0.2589014134907855
143.18416619300842: 1447, Recall: 0.2589014134907855
144.18524360656738: 1456, Recall: 0.2605117194489175
145.18640995025635: 1470, Recall: 0.26301663982823403
146.18757462501526: 1471, Recall: 0.2631955627124709
147.18874597549438: 1475, Recall: 0.2639112542494185
147.1896984577179: 1475, Recall: 0.2639112542494185
148.19062447547913: 1475, Recall: 0.2639112542494185
149.1917290687561: 1475, Recall: 0.2639112542494185
150.19283366203308: 1475, Recall: 0.2639112542494185
151.19400095939636: 1475, Recall: 0.2639112542494185
152.19521737098694: 1476, Recall: 0.2640901771336554
153.19644451141357: 1502, Recall: 0.2687421721238146
154.1975975036621: 1557, Recall: 0.2785829307568438
156.19885659217834: 1562, Recall: 0.27947754517802825
157.20000338554382: 1568, Recall: 0.2805510824834496
159.2013804912567: 1572, Recall: 0.2812667740203972
160.2025818824768: 1573, Recall: 0.2814456969046341
161.20369601249695: 1574, Recall: 0.281624619788871
163.20504188537598: 1575, Recall: 0.28180354267310787
164.20622897148132: 1578, Recall: 0.28234031132581855
166.20759463310242: 1580, Recall: 0.28269815709429236
167.20876693725586: 1613, Recall: 0.2886026122741099
169.21017479896545: 1661, Recall: 0.29719091071748077
170.2113311290741: 1667, Recall: 0.29826444802290214
171.21240282058716: 1670, Recall: 0.2988012166756128
172.21347498893738: 1676, Recall: 0.2998747539810342
173.21452736854553: 1683, Recall: 0.30112721417069244
175.21581387519836: 1698, Recall: 0.30381105743424586
177.21706819534302: 1740, Recall: 0.3113258185721954
179.2184362411499: 1752, Recall: 0.3134728931830381
182.21995306015015: 1756, Recall: 0.3141885847199857
183.22103238105774: 1775, Recall: 0.31758811952048666
185.22240781784058: 1805, Recall: 0.3229558060475935
187.2238576412201: 1843, Recall: 0.32975487564859546
189.22527170181274: 1889, Recall: 0.3379853283234926
190.22648668289185: 1890, Recall: 0.33816425120772947
191.2277398109436: 1914, Recall: 0.34245840042941494
192.22883677482605: 1925, Recall: 0.34442655215602075
193.22999095916748: 1925, Recall: 0.34442655215602075
194.23121285438538: 1927, Recall: 0.34478439792449456
194.23225593566895: 1927, Recall: 0.34478439792449456
195.23317670822144: 1927, Recall: 0.34478439792449456
196.23428583145142: 1927, Recall: 0.34478439792449456
197.23539566993713: 1927, Recall: 0.34478439792449456
198.2365608215332: 1939, Recall: 0.3469314725353373
200.23795199394226: 1956, Recall: 0.34997316156736447
201.23915195465088: 1957, Recall: 0.35015208445160134
203.2405014038086: 1993, Recall: 0.35659330828412955
204.2417380809784: 1997, Recall: 0.3573089998210771
204.24270510673523: 1997, Recall: 0.3573089998210771
205.24365496635437: 1997, Recall: 0.3573089998210771
206.2448971271515: 2003, Recall: 0.3583825371264985
207.24610948562622: 2031, Recall: 0.3633923778851315
208.24720239639282: 2031, Recall: 0.3633923778851315
209.2483949661255: 2031, Recall: 0.3633923778851315
209.24937200546265: 2031, Recall: 0.3633923778851315
210.25030946731567: 2031, Recall: 0.3633923778851315
211.2513782978058: 2031, Recall: 0.3633923778851315
212.25249457359314: 2031, Recall: 0.3633923778851315
213.25362086296082: 2031, Recall: 0.3633923778851315
214.25482320785522: 2031, Recall: 0.3633923778851315
215.25606513023376: 2031, Recall: 0.3633923778851315
216.25730419158936: 2031, Recall: 0.3633923778851315
216.25827622413635: 2031, Recall: 0.3633923778851315
217.25929188728333: 2034, Recall: 0.3639291465378422
218.26034903526306: 2034, Recall: 0.3639291465378422
220.26164746284485: 2055, Recall: 0.367686527106817
221.26275992393494: 2065, Recall: 0.3694757559491859
223.26409792900085: 2084, Recall: 0.3728752907496869
226.26564383506775: 2111, Recall: 0.377706208624083
231.2676317691803: 2121, Recall: 0.379495437466452
232.26882362365723: 2124, Recall: 0.38003220611916266
235.27038669586182: 2137, Recall: 0.3823582036142423
237.2717318534851: 2151, Recall: 0.38486312399355876
240.27324676513672: 2170, Recall: 0.38826265879405975
242.2745327949524: 2179, Recall: 0.3898729647521918
244.2758936882019: 2202, Recall: 0.39398819108964034
247.27742528915405: 2224, Recall: 0.397924494542852
248.27857851982117: 2236, Recall: 0.40007156915369474
250.2799162864685: 2259, Recall: 0.40418679549114334
252.2812089920044: 2277, Recall: 0.4074074074074074
253.2823088169098: 2286, Recall: 0.40901771336553944
256.2838773727417: 2308, Recall: 0.4129540168187511
257.2850377559662: 2318, Recall: 0.41474324566112003
258.28618693351746: 2325, Recall: 0.41599570585077833
259.2872142791748: 2337, Recall: 0.41814278046162107
261.28854751586914: 2364, Recall: 0.42297369833601717
262.28970432281494: 2382, Recall: 0.42619431025228127
264.29107427597046: 2404, Recall: 0.43013061370549294
265.2922661304474: 2408, Recall: 0.4308463052424405
266.2934398651123: 2427, Recall: 0.4342458400429415
268.2947733402252: 2437, Recall: 0.4360350688853104
270.296174287796: 2446, Recall: 0.43764537484344246
271.29736948013306: 2446, Recall: 0.43764537484344246
272.29862546920776: 2462, Recall: 0.44050814099123276
273.299843788147: 2462, Recall: 0.44050814099123276
274.30107402801514: 2462, Recall: 0.44050814099123276
275.3022692203522: 2462, Recall: 0.44050814099123276
276.30346393585205: 2462, Recall: 0.44050814099123276
277.3045816421509: 2469, Recall: 0.44176060118089105
278.3057117462158: 2469, Recall: 0.44176060118089105
279.3068103790283: 2469, Recall: 0.44176060118089105
280.30792689323425: 2469, Recall: 0.44176060118089105
281.30896496772766: 2480, Recall: 0.44372875290749686
282.3100800514221: 2480, Recall: 0.44372875290749686
283.3113076686859: 2480, Recall: 0.44372875290749686
284.3125011920929: 2485, Recall: 0.44462336732868135
286.3138291835785: 2504, Recall: 0.44802290212918233
287.31500005722046: 2508, Recall: 0.4487385936661299
289.3164381980896: 2523, Recall: 0.4514224369296833
290.3176300525665: 2524, Recall: 0.4516013598139202
291.3188216686249: 2536, Recall: 0.4537484344247629
292.3199825286865: 2544, Recall: 0.4551798174986581
293.3211257457733: 2561, Recall: 0.4582215065306853
294.3223309516907: 2580, Recall: 0.46162104133118625
295.3234648704529: 2585, Recall: 0.46251565575237075
296.32450556755066: 2585, Recall: 0.46251565575237075
297.32560205459595: 2593, Recall: 0.46394703882626587
299.32684230804443: 2598, Recall: 0.46484165324745036
300.3280589580536: 2598, Recall: 0.46484165324745036
301.32922196388245: 2603, Recall: 0.4657362676686348
302.33044958114624: 2603, Recall: 0.4657362676686348
303.3316469192505: 2611, Recall: 0.46716765074252997
304.3327956199646: 2614, Recall: 0.46770441939524066
305.33392691612244: 2614, Recall: 0.46770441939524066
307.3353590965271: 2634, Recall: 0.4712828770799785
310.3369514942169: 2653, Recall: 0.4746824118804795
311.3381288051605: 2659, Recall: 0.47575594918590086
314.33964586257935: 2683, Recall: 0.48005009840758633
315.34080624580383: 2695, Recall: 0.48219717301842907
317.34213376045227: 2704, Recall: 0.4838074789765611
319.3434865474701: 2719, Recall: 0.4864913222401145
320.3446135520935: 2721, Recall: 0.4868491680085883
321.3457143306732: 2722, Recall: 0.48702809089282517
324.34730410575867: 2735, Recall: 0.48935408838790484
326.3486316204071: 2747, Recall: 0.4915011629987475
329.35016345977783: 2760, Recall: 0.49382716049382713
330.35136818885803: 2760, Recall: 0.49382716049382713
331.3525536060333: 2762, Recall: 0.49418500626230094
332.35372614860535: 2764, Recall: 0.49454285203077475
334.35515785217285: 2785, Recall: 0.4983002325997495
335.3562722206116: 2788, Recall: 0.49883700125246017
336.3573787212372: 2788, Recall: 0.49883700125246017
337.3585000038147: 2788, Recall: 0.49883700125246017
338.35973715782166: 2788, Recall: 0.49883700125246017
338.3607089519501: 2788, Recall: 0.49883700125246017
340.36191177368164: 2789, Recall: 0.4990159241366971
341.3631010055542: 2789, Recall: 0.4990159241366971
343.364488363266: 2791, Recall: 0.49937376990517085
