2.001262664794922: 126, Recall: 0.02181062835381686
3.0026326179504395: 189, Recall: 0.03271594253072529
4.0038065910339355: 220, Recall: 0.038082049506664356
5.005048036575317: 347, Recall: 0.06006577808551151
6.006189823150635: 347, Recall: 0.06006577808551151
8.007481575012207: 375, Recall: 0.0649125843863597
9.008764743804932: 419, Recall: 0.07252899428769258
10.009938478469849: 419, Recall: 0.07252899428769258
11.011085987091064: 419, Recall: 0.07252899428769258
12.012101411819458: 419, Recall: 0.07252899428769258
14.013335704803467: 419, Recall: 0.07252899428769258
15.014551639556885: 446, Recall: 0.07720270036351047
16.015708446502686: 460, Recall: 0.07962610351393457
18.016973733901978: 472, Recall: 0.08170330621429808
20.018315315246582: 492, Recall: 0.08516531071490394
22.01957869529724: 532, Recall: 0.09208931971611563
24.020830869674683: 532, Recall: 0.09208931971611563
25.022082090377808: 551, Recall: 0.09537822399169119
26.023251056671143: 551, Recall: 0.09537822399169119
27.024287700653076: 567, Recall: 0.09814782759217587
29.0256085395813: 588, Recall: 0.10178293231781202
30.026836395263672: 588, Recall: 0.10178293231781202
31.02789831161499: 588, Recall: 0.10178293231781202
32.02898621559143: 588, Recall: 0.10178293231781202
34.03025436401367: 588, Recall: 0.10178293231781202
35.03148937225342: 622, Recall: 0.10766833996884195
36.032620668411255: 622, Recall: 0.10766833996884195
37.03371262550354: 622, Recall: 0.10766833996884195
38.03479528427124: 622, Recall: 0.10766833996884195
40.03587555885315: 622, Recall: 0.10766833996884195
41.03709530830383: 622, Recall: 0.10766833996884195
42.03825521469116: 622, Recall: 0.10766833996884195
43.03934144973755: 622, Recall: 0.10766833996884195
44.04038071632385: 653, Recall: 0.11303444694478103
46.04161977767944: 653, Recall: 0.11303444694478103
47.04283380508423: 653, Recall: 0.11303444694478103
48.04389929771423: 653, Recall: 0.11303444694478103
50.0452778339386: 655, Recall: 0.11338064739484162
51.04651403427124: 655, Recall: 0.11338064739484162
52.04768490791321: 655, Recall: 0.11338064739484162
53.04884672164917: 655, Recall: 0.11338064739484162
54.04993009567261: 655, Recall: 0.11338064739484162
55.05102062225342: 655, Recall: 0.11338064739484162
57.05220866203308: 655, Recall: 0.11338064739484162
58.05339789390564: 655, Recall: 0.11338064739484162
59.05451941490173: 655, Recall: 0.11338064739484162
60.05562448501587: 655, Recall: 0.11338064739484162
62.05684518814087: 655, Recall: 0.11338064739484162
63.058053970336914: 655, Recall: 0.11338064739484162
64.05923318862915: 655, Recall: 0.11338064739484162
65.06033062934875: 655, Recall: 0.11338064739484162
66.06149315834045: 693, Recall: 0.11995845594599273
67.0625958442688: 716, Recall: 0.12393976112168946
69.0637309551239: 716, Recall: 0.12393976112168946
70.06493020057678: 734, Recall: 0.12705556517223474
71.06608366966248: 770, Recall: 0.13328717327332526
72.06722950935364: 805, Recall: 0.1393456811493855
74.06842708587646: 805, Recall: 0.1393456811493855
75.06963968276978: 850, Recall: 0.14713519127574864
76.07082915306091: 850, Recall: 0.14713519127574864
78.07197785377502: 850, Recall: 0.14713519127574864
79.07320475578308: 892, Recall: 0.15440540072702094
80.07439637184143: 920, Recall: 0.15925220702786913
81.07549548149109: 920, Recall: 0.15925220702786913
83.07673120498657: 938, Recall: 0.1623680110784144
84.07790946960449: 996, Recall: 0.17240782413017136
86.07918286323547: 1058, Recall: 0.1831400380820495
87.08031368255615: 1140, Recall: 0.1973342565345335
89.08161950111389: 1170, Recall: 0.20252726328544227
91.08290004730225: 1174, Recall: 0.20321966418556345
94.08429622650146: 1185, Recall: 0.20512376666089666
95.08545112609863: 1185, Recall: 0.20512376666089666
97.08680486679077: 1231, Recall: 0.2130863770122901
99.08797192573547: 1238, Recall: 0.21429807858750216
102.08942675590515: 1288, Recall: 0.2229530898390168
104.09081196784973: 1303, Recall: 0.22554959321447118
106.09209871292114: 1313, Recall: 0.2272805954647741
108.09345936775208: 1316, Recall: 0.22779989613986498
110.09484267234802: 1333, Recall: 0.23074259996537996
112.09606695175171: 1359, Recall: 0.23524320581616756
115.09760904312134: 1368, Recall: 0.2368011078414402
117.09896922111511: 1412, Recall: 0.24441751774277307
119.10023665428162: 1442, Recall: 0.24961052449368185
121.10155916213989: 1476, Recall: 0.2554959321447118
122.1027443408966: 1508, Recall: 0.2610351393456811
125.10407280921936: 1531, Recall: 0.2650164445213779
126.10520958900452: 1549, Recall: 0.26813224857192314
128.10644030570984: 1556, Recall: 0.2693439501471352
130.1077082157135: 1567, Recall: 0.2712480526224684
132.10904669761658: 1605, Recall: 0.2778258611736195
134.1104052066803: 1629, Recall: 0.28198026657434655
135.11153197288513: 1629, Recall: 0.28198026657434655
137.112726688385: 1629, Recall: 0.28198026657434655
138.1139223575592: 1630, Recall: 0.28215336679937686
139.11506342887878: 1630, Recall: 0.28215336679937686
141.1163146495819: 1630, Recall: 0.28215336679937686
142.11751580238342: 1630, Recall: 0.28215336679937686
143.11871695518494: 1630, Recall: 0.28215336679937686
144.11976504325867: 1630, Recall: 0.28215336679937686
145.12079977989197: 1630, Recall: 0.28215336679937686
147.1220600605011: 1630, Recall: 0.28215336679937686
148.12325620651245: 1630, Recall: 0.28215336679937686
149.1243817806244: 1630, Recall: 0.28215336679937686
150.12546062469482: 1630, Recall: 0.28215336679937686
152.12672424316406: 1630, Recall: 0.28215336679937686
153.12785267829895: 1630, Recall: 0.28215336679937686
154.12902235984802: 1630, Recall: 0.28215336679937686
155.13012981414795: 1630, Recall: 0.28215336679937686
156.1311867237091: 1630, Recall: 0.28215336679937686
158.1323595046997: 1630, Recall: 0.28215336679937686
159.13352131843567: 1630, Recall: 0.28215336679937686
160.13472533226013: 1630, Recall: 0.28215336679937686
161.13582015037537: 1630, Recall: 0.28215336679937686
162.13690280914307: 1630, Recall: 0.28215336679937686
163.13795733451843: 1630, Recall: 0.28215336679937686
165.13919115066528: 1630, Recall: 0.28215336679937686
166.1404149532318: 1630, Recall: 0.28215336679937686
167.14158296585083: 1630, Recall: 0.28215336679937686
168.14275741577148: 1630, Recall: 0.28215336679937686
169.14379334449768: 1630, Recall: 0.28215336679937686
171.14502620697021: 1630, Recall: 0.28215336679937686
172.1462423801422: 1630, Recall: 0.28215336679937686
173.14736986160278: 1635, Recall: 0.2830188679245283
175.14858222007751: 1635, Recall: 0.2830188679245283
176.14979147911072: 1635, Recall: 0.2830188679245283
177.1509895324707: 1635, Recall: 0.2830188679245283
178.15205192565918: 1635, Recall: 0.2830188679245283
180.15331029891968: 1635, Recall: 0.2830188679245283
181.1545467376709: 1635, Recall: 0.2830188679245283
182.15569019317627: 1635, Recall: 0.2830188679245283
183.1568148136139: 1635, Recall: 0.2830188679245283
185.15814781188965: 1635, Recall: 0.2830188679245283
186.1593165397644: 1635, Recall: 0.2830188679245283
187.1604495048523: 1635, Recall: 0.2830188679245283
188.16151690483093: 1635, Recall: 0.2830188679245283
190.16281008720398: 1635, Recall: 0.2830188679245283
191.16393184661865: 1635, Recall: 0.2830188679245283
192.16507577896118: 1635, Recall: 0.2830188679245283
194.1663112640381: 1635, Recall: 0.2830188679245283
195.16748714447021: 1635, Recall: 0.2830188679245283
196.16863298416138: 1635, Recall: 0.2830188679245283
197.16969752311707: 1635, Recall: 0.2830188679245283
199.1709496974945: 1635, Recall: 0.2830188679245283
200.17210459709167: 1635, Recall: 0.2830188679245283
202.17339396476746: 1635, Recall: 0.2830188679245283
203.1746425628662: 1635, Recall: 0.2830188679245283
