4.002119302749634: 63, Recall: 0.03962264150943396
5.003570079803467: 63, Recall: 0.03962264150943396
7.005177021026611: 80, Recall: 0.050314465408805034
9.006820440292358: 102, Recall: 0.06415094339622641
10.008194923400879: 119, Recall: 0.07484276729559748
11.009619951248169: 136, Recall: 0.08553459119496855
13.011299848556519: 157, Recall: 0.09874213836477988
14.012647867202759: 168, Recall: 0.10566037735849057
16.014365911483765: 191, Recall: 0.12012578616352201
17.015899896621704: 191, Recall: 0.12012578616352201
18.017281770706177: 215, Recall: 0.13522012578616352
20.018845796585083: 215, Recall: 0.13522012578616352
21.020268440246582: 238, Recall: 0.14968553459119496
23.022011280059814: 247, Recall: 0.15534591194968553
24.02341890335083: 260, Recall: 0.16352201257861634
25.02475094795227: 283, Recall: 0.1779874213836478
26.02613377571106: 286, Recall: 0.17987421383647798
28.027701377868652: 302, Recall: 0.189937106918239
29.029310703277588: 304, Recall: 0.19119496855345913
31.030890464782715: 321, Recall: 0.2018867924528302
32.03237295150757: 333, Recall: 0.20943396226415095
34.03393745422363: 338, Recall: 0.21257861635220127
35.03535580635071: 354, Recall: 0.22264150943396227
37.03692269325256: 365, Recall: 0.22955974842767296
38.03849172592163: 365, Recall: 0.22955974842767296
39.03981852531433: 376, Recall: 0.23647798742138365
41.041380405426025: 387, Recall: 0.24339622641509434
42.04282546043396: 387, Recall: 0.24339622641509434
44.04431772232056: 398, Recall: 0.25031446540880503
45.045740604400635: 398, Recall: 0.25031446540880503
47.04730010032654: 404, Recall: 0.2540880503144654
48.04861855506897: 404, Recall: 0.2540880503144654
50.050166606903076: 404, Recall: 0.2540880503144654
51.051507234573364: 404, Recall: 0.2540880503144654
53.05311870574951: 404, Recall: 0.2540880503144654
54.054659366607666: 427, Recall: 0.26855345911949685
56.05620288848877: 448, Recall: 0.28176100628930817
58.05790638923645: 476, Recall: 0.2993710691823899
60.05955743789673: 484, Recall: 0.30440251572327043
61.0609335899353: 484, Recall: 0.30440251572327043
62.0624475479126: 489, Recall: 0.30754716981132074
64.06393194198608: 489, Recall: 0.30754716981132074
65.06524395942688: 494, Recall: 0.31069182389937106
68.06703639030457: 497, Recall: 0.31257861635220124
69.06835317611694: 501, Recall: 0.3150943396226415
71.06994318962097: 503, Recall: 0.3163522012578616
73.07149887084961: 503, Recall: 0.3163522012578616
74.07310771942139: 507, Recall: 0.31886792452830187
76.07474064826965: 515, Recall: 0.3238993710691824
81.07682943344116: 524, Recall: 0.32955974842767294
87.07923674583435: 531, Recall: 0.3339622641509434
90.08091878890991: 537, Recall: 0.33773584905660375
92.08264899253845: 537, Recall: 0.33773584905660375
93.08414769172668: 537, Recall: 0.33773584905660375
95.08567380905151: 537, Recall: 0.33773584905660375
97.08729195594788: 537, Recall: 0.33773584905660375
98.08874082565308: 537, Recall: 0.33773584905660375
100.0903742313385: 543, Recall: 0.34150943396226413
102.09187316894531: 543, Recall: 0.34150943396226413
103.09324288368225: 549, Recall: 0.3452830188679245
104.09468030929565: 549, Recall: 0.3452830188679245
106.09616303443909: 555, Recall: 0.3490566037735849
108.09787106513977: 555, Recall: 0.3490566037735849
109.09942150115967: 560, Recall: 0.3522012578616352
111.10108518600464: 563, Recall: 0.3540880503144654
112.10259056091309: 566, Recall: 0.3559748427672956
113.1039183139801: 571, Recall: 0.3591194968553459
115.1054368019104: 573, Recall: 0.360377358490566
120.10754227638245: 575, Recall: 0.36163522012578614
122.1090955734253: 586, Recall: 0.36855345911949683
124.1108067035675: 589, Recall: 0.370440251572327
126.11231255531311: 595, Recall: 0.3742138364779874
127.1136827468872: 595, Recall: 0.3742138364779874
129.11522316932678: 595, Recall: 0.3742138364779874
130.11654210090637: 595, Recall: 0.3742138364779874
132.11814045906067: 595, Recall: 0.3742138364779874
134.11966395378113: 598, Recall: 0.37610062893081764
136.12129712104797: 600, Recall: 0.37735849056603776
137.122820854187: 600, Recall: 0.37735849056603776
139.1243498325348: 606, Recall: 0.38113207547169814
141.12591576576233: 612, Recall: 0.3849056603773585
142.12734723091125: 612, Recall: 0.3849056603773585
144.12883734703064: 618, Recall: 0.3886792452830189
146.13058304786682: 618, Recall: 0.3886792452830189
147.13191652297974: 624, Recall: 0.39245283018867927
149.13351368904114: 629, Recall: 0.3955974842767296
151.13521814346313: 629, Recall: 0.3955974842767296
152.13661241531372: 640, Recall: 0.4025157232704403
154.13831543922424: 640, Recall: 0.4025157232704403
156.13985967636108: 647, Recall: 0.4069182389937107
158.14140009880066: 647, Recall: 0.4069182389937107
159.14290857315063: 647, Recall: 0.4069182389937107
161.14439702033997: 647, Recall: 0.4069182389937107
162.14579510688782: 647, Recall: 0.4069182389937107
164.14733219146729: 660, Recall: 0.41509433962264153
167.1491141319275: 670, Recall: 0.42138364779874216
169.15083837509155: 670, Recall: 0.42138364779874216
