149.21500873565674: 2604, Recall: 0.651
150.21647143363953: 2604, Recall: 0.651
152.21808743476868: 2604, Recall: 0.651
154.2198884487152: 2604, Recall: 0.651
154.2211835384369: 2604, Recall: 0.651
156.22282910346985: 2604, Recall: 0.651
156.22418808937073: 2604, Recall: 0.651
158.22586870193481: 2604, Recall: 0.651
158.22744226455688: 2604, Recall: 0.651
160.22907209396362: 2604, Recall: 0.651
161.2304310798645: 2604, Recall: 0.651
162.23203825950623: 2604, Recall: 0.651
163.23338794708252: 2604, Recall: 0.651
164.23477411270142: 2604, Recall: 0.651
165.23626446723938: 2604, Recall: 0.651
166.2376687526703: 2604, Recall: 0.651
167.2390673160553: 2604, Recall: 0.651
169.24063086509705: 2604, Recall: 0.651
169.2417676448822: 2604, Recall: 0.651
171.2435245513916: 2604, Recall: 0.651
171.2446837425232: 2604, Recall: 0.651
173.24632477760315: 2604, Recall: 0.651
174.24797892570496: 2604, Recall: 0.651
175.24928188323975: 2604, Recall: 0.651
175.25041818618774: 2604, Recall: 0.651
177.25219416618347: 2604, Recall: 0.651
178.25370359420776: 2604, Recall: 0.651
179.25521111488342: 2604, Recall: 0.651
179.2564935684204: 2604, Recall: 0.651
181.2579915523529: 2604, Recall: 0.651
182.25951743125916: 2604, Recall: 0.651
182.2606704235077: 2604, Recall: 0.651
183.26201343536377: 2604, Recall: 0.651
185.26355743408203: 2604, Recall: 0.651
186.2651069164276: 2604, Recall: 0.651
186.26621460914612: 2604, Recall: 0.651
188.26786398887634: 2604, Recall: 0.651
188.2691650390625: 2604, Recall: 0.651
190.2709562778473: 2604, Recall: 0.651
190.27240467071533: 2604, Recall: 0.651
192.27411699295044: 2604, Recall: 0.651
192.27560186386108: 2604, Recall: 0.651
194.27732110023499: 2604, Recall: 0.651
195.2788541316986: 2604, Recall: 0.651
196.28051042556763: 2604, Recall: 0.651
197.28188681602478: 2604, Recall: 0.651
198.28326630592346: 2604, Recall: 0.651
199.28462600708008: 2604, Recall: 0.651
200.2859411239624: 2604, Recall: 0.651
201.28738617897034: 2604, Recall: 0.651
202.2889063358307: 2604, Recall: 0.651
204.290442943573: 2604, Recall: 0.651
205.2921667098999: 2604, Recall: 0.651
205.2934970855713: 2604, Recall: 0.651
207.2950963973999: 2604, Recall: 0.651
207.29653024673462: 2604, Recall: 0.651
209.29811000823975: 2604, Recall: 0.651
210.2996699810028: 2604, Recall: 0.651
211.30124807357788: 2604, Recall: 0.651
212.30268740653992: 2604, Recall: 0.651
213.3042323589325: 2604, Recall: 0.651
214.30547881126404: 2604, Recall: 0.651
215.3069839477539: 2604, Recall: 0.651
216.3085687160492: 2604, Recall: 0.651
217.31008124351501: 2604, Recall: 0.651
219.3117654323578: 2604, Recall: 0.651
220.31310868263245: 2604, Recall: 0.651
221.3145215511322: 2604, Recall: 0.651
222.31613874435425: 2604, Recall: 0.651
223.3176519870758: 2604, Recall: 0.651
224.31927704811096: 2604, Recall: 0.651
225.320946931839: 2604, Recall: 0.651
226.3222839832306: 2604, Recall: 0.651
227.3238136768341: 2604, Recall: 0.651
228.32516884803772: 2604, Recall: 0.651
229.32663488388062: 2604, Recall: 0.651
230.32827305793762: 2604, Recall: 0.651
231.3296298980713: 2604, Recall: 0.651
232.3310260772705: 2604, Recall: 0.651
233.33250427246094: 2604, Recall: 0.651
234.33386301994324: 2604, Recall: 0.651
235.33546829223633: 2604, Recall: 0.651
236.3369846343994: 2604, Recall: 0.651
237.33852005004883: 2604, Recall: 0.651
238.34002351760864: 2604, Recall: 0.651
239.341463804245: 2604, Recall: 0.651
240.34284901618958: 2604, Recall: 0.651
240.34414434432983: 2604, Recall: 0.651
241.34543108940125: 2604, Recall: 0.651
242.34676122665405: 2604, Recall: 0.651
243.3482859134674: 2604, Recall: 0.651
244.3496925830841: 2604, Recall: 0.651
246.35128140449524: 2604, Recall: 0.651
247.3526782989502: 2604, Recall: 0.651
247.35379028320312: 2604, Recall: 0.651
248.35524439811707: 2604, Recall: 0.651
249.35673356056213: 2604, Recall: 0.651
250.35802006721497: 2604, Recall: 0.651
252.3596532344818: 2604, Recall: 0.651
253.3609881401062: 2604, Recall: 0.651
254.3623034954071: 2604, Recall: 0.651
255.36382389068604: 2604, Recall: 0.651
256.3651683330536: 2604, Recall: 0.651
257.36659836769104: 2604, Recall: 0.651
258.36807894706726: 2604, Recall: 0.651
259.36939787864685: 2604, Recall: 0.651
260.37076783180237: 2604, Recall: 0.651
261.3722426891327: 2604, Recall: 0.651
262.37357902526855: 2604, Recall: 0.651
263.37505888938904: 2604, Recall: 0.651
264.37661504745483: 2604, Recall: 0.651
265.3779299259186: 2604, Recall: 0.651
266.3793544769287: 2604, Recall: 0.651
267.3807454109192: 2604, Recall: 0.651
268.38205909729004: 2604, Recall: 0.651
269.3836421966553: 2699, Recall: 0.67475
270.3851275444031: 2899, Recall: 0.72475
272.3868796825409: 3094, Recall: 0.7735
272.3882966041565: 3294, Recall: 0.8235
273.3898296356201: 3404, Recall: 0.851
274.39134907722473: 3404, Recall: 0.851
276.3929657936096: 3404, Recall: 0.851
277.3943450450897: 3405, Recall: 0.85125
278.39591336250305: 3405, Recall: 0.85125
279.39722967147827: 3405, Recall: 0.85125
280.39860558509827: 3406, Recall: 0.8515
281.40034914016724: 3406, Recall: 0.8515
282.4018609523773: 3406, Recall: 0.8515
283.40334010124207: 3406, Recall: 0.8515
285.40491795539856: 3406, Recall: 0.8515
285.4060561656952: 3406, Recall: 0.8515
286.4075322151184: 3406, Recall: 0.8515
