105.17087292671204: 2600, Recall: 0.65
106.17183446884155: 2600, Recall: 0.65
107.17294311523438: 2600, Recall: 0.65
108.17422866821289: 2600, Recall: 0.65
109.17549896240234: 2600, Recall: 0.65
109.17654633522034: 2600, Recall: 0.65
110.17752075195312: 2600, Recall: 0.65
111.17881464958191: 2600, Recall: 0.65
112.18010091781616: 2600, Recall: 0.65
112.1811306476593: 2600, Recall: 0.65
113.18208146095276: 2600, Recall: 0.65
113.1831727027893: 2600, Recall: 0.65
115.1843523979187: 2600, Recall: 0.65
115.18539357185364: 2600, Recall: 0.65
116.18635559082031: 2600, Recall: 0.65
116.18740105628967: 2600, Recall: 0.65
117.18833446502686: 2600, Recall: 0.65
118.18956995010376: 2600, Recall: 0.65
119.19081473350525: 2600, Recall: 0.65
119.19186687469482: 2600, Recall: 0.65
120.19282531738281: 2600, Recall: 0.65
121.19404554367065: 2600, Recall: 0.65
121.1951060295105: 2600, Recall: 0.65
122.1961259841919: 2600, Recall: 0.65
123.19727849960327: 2601, Recall: 0.65025
124.19856882095337: 2601, Recall: 0.65025
124.19961810112: 2601, Recall: 0.65025
126.20093655586243: 2601, Recall: 0.65025
126.20196294784546: 2601, Recall: 0.65025
127.20309901237488: 2601, Recall: 0.65025
127.20413756370544: 2601, Recall: 0.65025
128.20514631271362: 2601, Recall: 0.65025
129.2062542438507: 2601, Recall: 0.65025
130.20754647254944: 2601, Recall: 0.65025
130.20858454704285: 2601, Recall: 0.65025
131.20967626571655: 2602, Recall: 0.6505
132.2109375: 2602, Recall: 0.6505
133.2122139930725: 2602, Recall: 0.6505
133.21324801445007: 2602, Recall: 0.6505
134.2143292427063: 2602, Recall: 0.6505
135.21556878089905: 2602, Recall: 0.6505
136.21685481071472: 2602, Recall: 0.6505
136.21790051460266: 2602, Recall: 0.6505
137.21892619132996: 2602, Recall: 0.6505
138.2201111316681: 2602, Recall: 0.6505
138.22117948532104: 2602, Recall: 0.6505
139.22216391563416: 2602, Recall: 0.6505
140.22330164909363: 2602, Recall: 0.6505
141.22452974319458: 2602, Recall: 0.6505
142.22576808929443: 2602, Recall: 0.6505
143.22699308395386: 2602, Recall: 0.6505
143.22804284095764: 2602, Recall: 0.6505
144.22915124893188: 2602, Recall: 0.6505
144.23018527030945: 2602, Recall: 0.6505
145.23122000694275: 2602, Recall: 0.6505
146.23234677314758: 2602, Recall: 0.6505
147.23353099822998: 2602, Recall: 0.6505
148.2347559928894: 2602, Recall: 0.6505
149.2360725402832: 2602, Recall: 0.6505
150.23734259605408: 2602, Recall: 0.6505
150.23838424682617: 2602, Recall: 0.6505
151.23958134651184: 2602, Recall: 0.6505
151.24060726165771: 2602, Recall: 0.6505
152.24160385131836: 2602, Recall: 0.6505
153.24274802207947: 2602, Recall: 0.6505
154.24389004707336: 2602, Recall: 0.6505
154.24493861198425: 2602, Recall: 0.6505
155.2459659576416: 2602, Recall: 0.6505
156.24716091156006: 2602, Recall: 0.6505
157.24836540222168: 2602, Recall: 0.6505
158.24960017204285: 2602, Recall: 0.6505
158.25061798095703: 2602, Recall: 0.6505
159.25171446800232: 2602, Recall: 0.6505
160.252947807312: 2602, Recall: 0.6505
161.2541995048523: 2602, Recall: 0.6505
161.25525403022766: 2602, Recall: 0.6505
162.25637316703796: 2602, Recall: 0.6505
163.25760102272034: 2602, Recall: 0.6505
164.25883197784424: 2602, Recall: 0.6505
164.25987553596497: 2602, Recall: 0.6505
165.26098680496216: 2602, Recall: 0.6505
166.26222825050354: 2602, Recall: 0.6505
167.2634892463684: 2602, Recall: 0.6505
168.26474356651306: 2602, Recall: 0.6505
168.2657654285431: 2602, Recall: 0.6505
169.26689076423645: 2602, Recall: 0.6505
170.2681601047516: 2602, Recall: 0.6505
171.26943397521973: 2602, Recall: 0.6505
171.27047562599182: 2602, Recall: 0.6505
172.2715048789978: 2602, Recall: 0.6505
173.27264499664307: 2602, Recall: 0.6505
173.27367281913757: 2602, Recall: 0.6505
174.27473974227905: 2602, Recall: 0.6505
175.27598071098328: 2602, Recall: 0.6505
176.27725076675415: 2602, Recall: 0.6505
176.27830529212952: 2602, Recall: 0.6505
177.2793209552765: 2602, Recall: 0.6505
178.28043293952942: 2602, Recall: 0.6505
179.28155612945557: 2602, Recall: 0.6505
179.28261375427246: 2602, Recall: 0.6505
180.28364515304565: 2602, Recall: 0.6505
181.28479266166687: 2602, Recall: 0.6505
181.28585195541382: 2602, Recall: 0.6505
182.28684520721436: 2602, Recall: 0.6505
183.28799843788147: 2602, Recall: 0.6505
184.28912615776062: 2602, Recall: 0.6505
185.2902636528015: 2602, Recall: 0.6505
185.29137897491455: 2602, Recall: 0.6505
186.29242825508118: 2602, Recall: 0.6505
187.29356050491333: 2602, Recall: 0.6505
187.29459857940674: 2602, Recall: 0.6505
188.29561066627502: 2602, Recall: 0.6505
189.2967505455017: 2602, Recall: 0.6505
190.29791116714478: 2602, Recall: 0.6505
