1.0012896060943604: 106, Recall: 0.015337867168282449
2.0027670860290527: 219, Recall: 0.03168861235711185
3.004246950149536: 244, Recall: 0.03530603385906526
3.00537109375: 262, Recall: 0.037910577340471714
4.006579875946045: 283, Recall: 0.04094921140211257
5.007910966873169: 314, Recall: 0.0454348140645348
6.0092973709106445: 326, Recall: 0.047171176385472434
7.010566234588623: 326, Recall: 0.047171176385472434
8.012033939361572: 347, Recall: 0.0502098104471133
9.013422966003418: 347, Recall: 0.0502098104471133
9.014508962631226: 347, Recall: 0.0502098104471133
12.016165733337402: 377, Recall: 0.054550716249457384
14.017696142196655: 378, Recall: 0.054695413109535525
16.01927137374878: 405, Recall: 0.058602228331645204
17.020771026611328: 475, Recall: 0.06873100853711474
18.022131204605103: 496, Recall: 0.07176964259875561
19.0233952999115: 496, Recall: 0.07176964259875561
20.024762630462646: 496, Recall: 0.07176964259875561
21.026142358779907: 527, Recall: 0.07625524526117783
22.027660846710205: 556, Recall: 0.08045145420344378
23.029146194458008: 556, Recall: 0.08045145420344378
24.030460119247437: 568, Recall: 0.08218781652438142
24.03162932395935: 568, Recall: 0.08218781652438142
25.032928466796875: 574, Recall: 0.08305599768485024
26.034200191497803: 574, Recall: 0.08305599768485024
27.035579919815063: 574, Recall: 0.08305599768485024
27.036828756332397: 574, Recall: 0.08305599768485024
28.03807759284973: 574, Recall: 0.08305599768485024
29.039462327957153: 588, Recall: 0.08508175372594415
30.040982007980347: 614, Recall: 0.08884387208797569
30.042083978652954: 614, Recall: 0.08884387208797569
31.043357372283936: 614, Recall: 0.08884387208797569
32.04477334022522: 614, Recall: 0.08884387208797569
33.046114683151245: 630, Recall: 0.09115902184922588
33.04719042778015: 630, Recall: 0.09115902184922588
34.04863238334656: 630, Recall: 0.09115902184922588
35.049970865249634: 630, Recall: 0.09115902184922588
35.05107879638672: 630, Recall: 0.09115902184922588
36.05244517326355: 630, Recall: 0.09115902184922588
37.05376744270325: 630, Recall: 0.09115902184922588
38.055057525634766: 630, Recall: 0.09115902184922588
38.05630040168762: 630, Recall: 0.09115902184922588
39.057575941085815: 639, Recall: 0.09246129358992909
40.05889177322388: 668, Recall: 0.09665750253219506
41.06037092208862: 689, Recall: 0.09969613659383592
42.061683177948: 689, Recall: 0.09969613659383592
42.06275463104248: 689, Recall: 0.09969613659383592
43.064016342163086: 689, Recall: 0.09969613659383592
44.06545424461365: 689, Recall: 0.09969613659383592
