,1,4,8,12,20,28,40,80,160,280
CS1,0.9170849922104899,0.9257400034620045,0.9935952916738792,0.995845594599273,0.9980958975246668,0.9998268997749697,0.9998268997749697,0.9998268997749697,0.9998268997749697,0.9998268997749697
CS2,0.8610576923076924,0.8862980769230769,0.9778846153846154,0.9846153846153847,0.9966346153846154,0.9966346153846154,0.9966346153846154,0.9966346153846154,0.9966346153846154,0.9966346153846154
CS3,0.8819273621762408,0.9027637100274924,0.9804659238894516,0.9788742584285921,0.9853856171321083,0.9901606135146868,0.9901606135146868,0.9918969758356244,0.9918969758356244,0.9918969758356244
CS4,0.8928251923421006,0.8976561102164967,0.959563428162462,0.9753086419753086,0.9778135623546251,0.9778135623546251,0.9778135623546251,0.9953480050098408,0.9953480050098408,0.9953480050098408
CS5,0.8138364779874214,0.8886792452830189,0.9616352201257862,0.9761006289308176,0.979874213836478,0.979874213836478,0.979874213836478,0.9874213836477987,0.9937106918238994,0.9937106918238994
PRL2D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LDC2D,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,1.0,1.0
RDC2D,0.9955,0.996,0.996,0.996,0.996,0.996,0.996,0.996,1.0,1.0
PRL3D,0.2480673076923077,0.2480673076923077,0.2490128205128205,0.2498173076923077,0.25,0.25,0.25,0.25,0.25,0.25
LDC3D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RDC3D,0.4791388888888889,0.48033333333333333,0.48130555555555554,0.48130555555555554,0.48130555555555554,0.48130555555555554,0.48130555555555554,0.48130555555555554,0.49969444444444444,0.49969444444444444
