,recall_mean,recall_std,precision_mean,precision_std,data_reduction_mean,data_reduction_std
CS,0.9875607812464988,0.008392211562633476,0.7921762725571773,0.2855789102456735,0.6275390625,0.08176626913530255
PRL,0.625,0.375,0.700812722498767,0.06604709749876708,0.27056884765625,0.26068115234375
LDC,0.49725,0.49725,1.0,0.0,0.87860107421875,0.12139892578125
RDC,0.7386527777777778,0.2573472222222222,1.0,0.0,0.8453693389892578,0.08853340148925781
