,brute_force_recall,brute_force_precision,afl_recall,afl_precision,brute_force_data_reduction,afl_data_reduction
CS,0.6911684037301152,1,0.08019747668678004,1,0.8077392578125,0.977691650390625
PRL,0.1389308366052552,1,0.024101479915433405,1,0.9339384191176471,0.9885397518382353
LDC,0.25,1,0.203325,1,0.9640969669117647,0.9708000631893382
RDC,0.275,1,0.207875,1,0.9605066636029411,0.9701466279871324
